,Tweet Count,Close,Volatility
4/1/2016,2496,105.33,9.05E-07
5/1/2016,2509,102.71,0.000618726
6/1/2016,3485,100.7,0.000382972
7/1/2016,3899,96.54,0.001706584
8/1/2016,3060,96.98,2.08E-05
11/1/2016,2476,98.53,0.000255446
12/1/2016,2452,99.96,0.000210637
13/1/2016,2332,97.41,0.000650771
14/1/2016,2066,99.51,0.000464763
15/1/2016,1027,97.081,0.000595829
19/1/2016,317,96.68,1.71E-05
20/1/2016,2201,96.81,1.81E-06
21/1/2016,1976,96.26,3.23E-05
22/1/2016,2792,101.42,0.002873477
25/1/2016,1719,99.466,0.000371195
26/1/2016,6084,99.98,2.67E-05
27/1/2016,6478,93.41,0.004318217
28/1/2016,3389,94.08,5.14E-05
29/1/2016,2499,97.14,0.001057909
1/2/2016,2297,96.38,6.12E-05
2/2/2016,875,94.48,0.000388627
3/2/2016,1800,96.34,0.000387566
4/2/2016,850,96.6,7.28E-06
5/2/2016,1447,94.01,0.000718862
8/2/2016,1878,95.01,0.000113149
9/2/2016,1790,95.02,1.11E-08
10/2/2016,1345,94.27,6.23E-05
11/2/2016,1343,93.66,4.19E-05
12/2/2016,1715,93.99,1.24E-05
16/2/2016,2357,96.62,0.000782976
17/2/2016,3322,98.11,0.000237815
18/2/2016,2986,96.26,0.000355563
19/2/2016,2959,96.03,5.71E-06
22/2/2016,2012,96.87,7.65E-05
23/2/2016,1255,94.69,0.000506447
24/2/2016,1847,96.1,0.000221733
25/2/2016,2410,96.75,4.57E-05
26/2/2016,2238,96.91,2.73E-06
29/2/2016,1727,96.6501,7.19E-06
1/3/2016,1052,100.53,0.001611523
2/3/2016,1513,100.73,3.96E-06
3/3/2016,1972,101.5,5.84E-05
4/3/2016,1964,103.01,0.000221321
7/3/2016,1754,101.87,0.000122476
8/3/2016,1400,101.04,6.64E-05
9/3/2016,736,101.1,3.53E-07
10/3/2016,1570,101.17,4.79E-07
11/3/2016,1539,102.25,0.000113958
14/3/2016,1399,102.52,6.97E-06
15/3/2016,2198,104.58,0.000403754
16/3/2016,2170,105.97,0.000176658
17/3/2016,2090,105.8,2.57E-06
18/3/2016,1708,105.91,1.08E-06
21/3/2016,1125,105.91,0
22/3/2016,2018,106.74,6.14E-05
23/3/2016,1722,106.14,3.16E-05
24/3/2016,2003,105.66,2.05E-05
28/3/2016,1927,105.19,1.98E-05
29/3/2016,2432,107.68,0.000560338
30/3/2016,2414,109.59,0.000314627
31/3/2016,1989,108.96,3.30E-05
1/4/2016,1899,109.96,8.42E-05
4/4/2016,1981,111.12,0.000111288
5/4/2016,1557,109.803,0.000140471
6/4/2016,1718,110.951,0.000109309
7/4/2016,1936,108.54,0.000472207
8/4/2016,1710,108.66,1.22E-06
11/4/2016,1716,109.05,1.29E-05
12/4/2016,1457,110.44,0.000162472
13/4/2016,1861,112.04,0.000209888
14/4/2016,1834,112.1,2.87E-07
15/4/2016,2438,109.814,0.000415854
18/4/2016,2162,107.4,0.000483236
19/4/2016,851,106.95,1.76E-05
20/4/2016,1468,107.13,2.83E-06
21/4/2016,1518,105.97,0.000117245
22/4/2016,1802,105.68,7.49E-06
25/4/2016,2301,105.08,3.22E-05
26/4/2016,1095,104.3,5.51E-05
27/4/2016,5965,97.81,0.00387187
28/4/2016,4039,94.82,0.000934493
29/4/2016,2940,93.75,0.000127341
2/5/2016,2607,93.64,1.38E-06
3/5/2016,2284,95.18,0.00027047
4/5/2016,2007,94.19,0.000108188
5/5/2016,2155,93.24,0.000101727
6/5/2016,2597,92.72,3.11E-05
9/5/2016,1890,92.79,5.70E-07
10/5/2016,2114,93.4,4.32E-05
11/5/2016,1855,92.51,9.08E-05
12/5/2016,3793,90.34,0.000550227
13/5/2016,2634,90.52,3.97E-06
16/5/2016,4889,93.88,0.00137781
17/5/2016,1628,93.48,1.82E-05
18/5/2016,2117,94.57,0.000135961
19/5/2016,1867,94.19,1.61E-05
20/5/2016,1754,95.22,0.000119582
23/5/2016,2225,96.42,0.00015882
24/5/2016,2344,97.9,0.000235608
25/5/2016,2649,99.5977,0.000300716
26/5/2016,2558,100.42,6.82E-05
27/5/2016,2046,100.34,6.35E-07
31/5/2016,1757,99.86,2.29E-05
1/6/2016,1688,98.45,0.000199368
2/6/2016,2261,97.7,5.80E-05
3/6/2016,1306,97.91,4.62E-06
6/6/2016,1629,98.63,5.41E-05
7/6/2016,1462,99.04,1.73E-05
8/6/2016,1546,98.94,1.02E-06
9/6/2016,1793,99.66,5.30E-05
10/6/2016,1911,98.84,6.77E-05
13/6/2016,3401,97.34,0.000230312
14/6/2016,2966,97.46,1.52E-06
15/6/2016,1907,97.14,1.08E-05
16/6/2016,1478,97.57,1.96E-05
17/6/2016,2186,95.32,0.000531781
20/6/2016,1812,95.1,5.33E-06
21/6/2016,1733,95.91,7.25E-05
22/6/2016,1660,95.56,1.33E-05
23/6/2016,1287,96.09,3.08E-05
24/6/2016,1497,93.37,0.000801275
27/6/2016,836,92.04,0.000202903
28/6/2016,1385,93.59,0.000283603
29/6/2016,1100,94.4,7.49E-05
30/6/2016,1356,95.61,0.000164296
1/7/2016,1655,95.9,9.20E-06
5/7/2016,1026,95.02,8.42E-05
6/7/2016,1330,95.53,2.88E-05
7/7/2016,474,95.94,1.84E-05
8/7/2016,1090,96.68,5.95E-05
11/7/2016,1140,96.98,9.63E-06
12/7/2016,1346,97.42,2.06E-05
13/7/2016,1132,96.87,3.19E-05
14/7/2016,1717,98.79,0.000392847
15/7/2016,1234,98.76,9.22E-08
18/7/2016,1720,99.83,0.000117383
19/7/2016,1363,99.87,1.61E-07
20/7/2016,1754,99.93,3.61E-07
21/7/2016,1912,99.42,2.60E-05
22/7/2016,1567,98.66,5.84E-05
25/7/2016,2205,97.32,0.000184471
26/7/2016,5587,96.67,4.46E-05
27/7/2016,4851,102.97,0.004247151
28/7/2016,3214,104.33,0.000174444
29/7/2016,1847,104.195,1.67E-06
1/8/2016,1533,106.06,0.000320379
2/8/2016,1403,104.47,0.000224745
3/8/2016,1223,105.8,0.000162077
4/8/2016,1616,105.89,7.24E-07
5/8/2016,1942,107.47,0.000222641
8/8/2016,271,108.37,7.01E-05
9/8/2016,1531,108.82,1.72E-05
10/8/2016,1766,108,5.68E-05
11/8/2016,1517,107.93,4.20E-07
12/8/2016,983,108.16,4.54E-06
15/8/2016,2269,109.51,0.000155788
16/8/2016,2176,109.38,1.41E-06
17/8/2016,1832,109.2,2.71E-06
18/8/2016,1445,109.0811,1.19E-06
19/8/2016,1530,109.36,6.54E-06
22/8/2016,1552,108.5,6.18E-05
23/8/2016,1365,108.83,9.25E-06
24/8/2016,1642,108.04,5.27E-05
25/8/2016,1940,107.59,1.73E-05
26/8/2016,1679,106.94,3.65E-05
29/8/2016,185,106.82,1.26E-06
